######################### Start train #########################
Tot_step: 4435   	 | Episode: 20   	 | Time: 234.50 	 | Reward : -81.836 	 | actor_loss : -234.422 	 | critic_loss : 748.261
Tot_step: 7377   	 | Episode: 40   	 | Time: 147.10 	 | Reward : -49.842 	 | actor_loss : -984.494 	 | critic_loss : 9847.296
Tot_step: 9780   	 | Episode: 60   	 | Time: 120.15 	 | Reward : -38.760 	 | actor_loss : -2712.073 	 | critic_loss : 73547.061
Tot_step: 16594  	 | Episode: 80   	 | Time: 340.70 	 | Reward : -505.356 	 | actor_loss : -6249.875 	 | critic_loss : 303988.074
Tot_step: 20640  	 | Episode: 100  	 | Time: 202.30 	 | Reward : -227.572 	 | actor_loss : -6309.499 	 | critic_loss : 275106.988
Tot_step: 26845  	 | Episode: 120  	 | Time: 310.25 	 | Reward : -291.942 	 | actor_loss : -5530.802 	 | critic_loss : 175000.758
Tot_step: 31468  	 | Episode: 140  	 | Time: 231.15 	 | Reward : -195.697 	 | actor_loss : -4545.431 	 | critic_loss : 87347.317
Tot_step: 38453  	 | Episode: 160  	 | Time: 349.25 	 | Reward : -321.402 	 | actor_loss : -3425.569 	 | critic_loss : 31715.420
Tot_step: 43874  	 | Episode: 180  	 | Time: 271.05 	 | Reward : -248.088 	 | actor_loss : -2641.235 	 | critic_loss : 14060.186
Tot_step: 48238  	 | Episode: 200  	 | Time: 218.20 	 | Reward : -184.823 	 | actor_loss : -2147.577 	 | critic_loss : 9105.368
Tot_step: 50696  	 | Episode: 220  	 | Time: 122.90 	 | Reward : -100.198 	 | actor_loss : -1703.879 	 | critic_loss : 5532.860
Tot_step: 56870  	 | Episode: 240  	 | Time: 308.70 	 | Reward : -207.102 	 | actor_loss : -1331.725 	 | critic_loss : 2751.479
Tot_step: 62921  	 | Episode: 260  	 | Time: 302.55 	 | Reward : -168.808 	 | actor_loss : -1003.479 	 | critic_loss : 1123.253
Tot_step: 71002  	 | Episode: 280  	 | Time: 404.05 	 | Reward : -130.002 	 | actor_loss : -714.331 	 | critic_loss : 460.757
Tot_step: 86861  	 | Episode: 300  	 | Time: 792.95 	 | Reward : 300.721 	 | actor_loss : -374.792 	 | critic_loss : 79.436
Tot_step: 106861 	 | Episode: 320  	 | Time: 1000.00 	 | Reward : 528.463 	 | actor_loss : -150.168 	 | critic_loss : 13.258
Tot_step: 126861 	 | Episode: 340  	 | Time: 1000.00 	 | Reward : 644.110 	 | actor_loss : -80.898 	 | critic_loss : 6.383
Tot_step: 146861 	 | Episode: 360  	 | Time: 1000.00 	 | Reward : 737.411 	 | actor_loss : -66.007 	 | critic_loss : 4.719
