######################### Start train #########################
Tot_step: 2660   	 | Episode: 20   	 | Time: 145.75 	 | Reward : -65.196 	 | actor_loss : -73.227 	 | critic_loss : 133.612
Tot_step: 8088   	 | Episode: 40   	 | Time: 271.40 	 | Reward : -102.446 	 | actor_loss : -619.505 	 | critic_loss : 2690.539
Tot_step: 10499  	 | Episode: 60   	 | Time: 120.55 	 | Reward : -73.664 	 | actor_loss : -2069.196 	 | critic_loss : 25620.790
Tot_step: 13460  	 | Episode: 80   	 | Time: 148.05 	 | Reward : -231.791 	 | actor_loss : -2932.780 	 | critic_loss : 51723.157
Tot_step: 18731  	 | Episode: 100  	 | Time: 263.55 	 | Reward : -321.192 	 | actor_loss : -2877.368 	 | critic_loss : 39428.399
Tot_step: 21210  	 | Episode: 120  	 | Time: 123.95 	 | Reward : -127.606 	 | actor_loss : -2635.319 	 | critic_loss : 30293.350
Tot_step: 26725  	 | Episode: 140  	 | Time: 275.75 	 | Reward : -276.246 	 | actor_loss : -2199.839 	 | critic_loss : 14545.686
Tot_step: 30485  	 | Episode: 160  	 | Time: 188.00 	 | Reward : -163.813 	 | actor_loss : -1853.456 	 | critic_loss : 7747.253
Tot_step: 35706  	 | Episode: 180  	 | Time: 261.05 	 | Reward : -224.001 	 | actor_loss : -1480.087 	 | critic_loss : 3367.244
Tot_step: 39129  	 | Episode: 200  	 | Time: 171.15 	 | Reward : -154.250 	 | actor_loss : -1264.825 	 | critic_loss : 2581.255
Tot_step: 41799  	 | Episode: 220  	 | Time: 133.50 	 | Reward : -124.657 	 | actor_loss : -1079.700 	 | critic_loss : 1597.316
Tot_step: 45886  	 | Episode: 240  	 | Time: 204.35 	 | Reward : -199.557 	 | actor_loss : -888.174 	 | critic_loss : 1001.369
Tot_step: 50116  	 | Episode: 260  	 | Time: 211.50 	 | Reward : -179.713 	 | actor_loss : -706.944 	 | critic_loss : 624.409
Tot_step: 59051  	 | Episode: 280  	 | Time: 446.75 	 | Reward : -263.825 	 | actor_loss : -464.726 	 | critic_loss : 194.223
Tot_step: 72740  	 | Episode: 300  	 | Time: 684.45 	 | Reward : -38.451 	 | actor_loss : -255.526 	 | critic_loss : 53.964
Tot_step: 92740  	 | Episode: 320  	 | Time: 1000.00 	 | Reward : 289.645 	 | actor_loss : -94.540 	 | critic_loss : 10.393
Tot_step: 112740 	 | Episode: 340  	 | Time: 1000.00 	 | Reward : 687.326 	 | actor_loss : -52.282 	 | critic_loss : 5.502
Tot_step: 132740 	 | Episode: 360  	 | Time: 1000.00 	 | Reward : 834.353 	 | actor_loss : -53.609 	 | critic_loss : 4.566
Tot_step: 151836 	 | Episode: 380  	 | Time: 954.80 	 | Reward : 933.671 	 | actor_loss : -58.757 	 | critic_loss : 3.945
Tot_step: 170324 	 | Episode: 400  	 | Time: 924.40 	 | Reward : 1103.083 	 | actor_loss : -65.172 	 | critic_loss : 3.757
Tot_step: 189261 	 | Episode: 420  	 | Time: 946.85 	 | Reward : 1236.443 	 | actor_loss : -73.214 	 | critic_loss : 4.504
Tot_step: 205614 	 | Episode: 440  	 | Time: 817.65 	 | Reward : 1144.887 	 | actor_loss : -81.138 	 | critic_loss : 5.792
Tot_step: 222007 	 | Episode: 460  	 | Time: 819.65 	 | Reward : 1256.338 	 | actor_loss : -87.226 	 | critic_loss : 6.708
Tot_step: 238671 	 | Episode: 480  	 | Time: 833.20 	 | Reward : 1244.941 	 | actor_loss : -92.858 	 | critic_loss : 7.399
Tot_step: 254183 	 | Episode: 500  	 | Time: 775.60 	 | Reward : 1295.933 	 | actor_loss : -96.874 	 | critic_loss : 8.278
Tot_step: 271130 	 | Episode: 520  	 | Time: 847.35 	 | Reward : 1396.591 	 | actor_loss : -100.583 	 | critic_loss : 8.886
Tot_step: 286747 	 | Episode: 540  	 | Time: 780.85 	 | Reward : 1140.239 	 | actor_loss : -103.959 	 | critic_loss : 9.456
Tot_step: 305841 	 | Episode: 560  	 | Time: 954.70 	 | Reward : 1677.116 	 | actor_loss : -106.919 	 | critic_loss : 9.308
Tot_step: 324527 	 | Episode: 580  	 | Time: 934.30 	 | Reward : 1481.283 	 | actor_loss : -110.482 	 | critic_loss : 9.518
Tot_step: 342158 	 | Episode: 600  	 | Time: 881.55 	 | Reward : 1447.691 	 | actor_loss : -113.860 	 | critic_loss : 9.835
Tot_step: 357986 	 | Episode: 620  	 | Time: 791.40 	 | Reward : 1523.220 	 | actor_loss : -117.034 	 | critic_loss : 10.554
Tot_step: 376995 	 | Episode: 640  	 | Time: 950.45 	 | Reward : 1836.840 	 | actor_loss : -120.805 	 | critic_loss : 10.600
Tot_step: 396970 	 | Episode: 660  	 | Time: 998.75 	 | Reward : 1729.060 	 | actor_loss : -123.516 	 | critic_loss : 10.635
Tot_step: 414120 	 | Episode: 680  	 | Time: 857.50 	 | Reward : 1783.029 	 | actor_loss : -126.015 	 | critic_loss : 11.113
Tot_step: 432748 	 | Episode: 700  	 | Time: 931.40 	 | Reward : 1709.340 	 | actor_loss : -128.239 	 | critic_loss : 11.513
Tot_step: 450129 	 | Episode: 720  	 | Time: 869.05 	 | Reward : 1770.614 	 | actor_loss : -130.393 	 | critic_loss : 11.874
Tot_step: 465930 	 | Episode: 740  	 | Time: 790.05 	 | Reward : 1749.530 	 | actor_loss : -133.127 	 | critic_loss : 12.189
Tot_step: 483174 	 | Episode: 760  	 | Time: 862.20 	 | Reward : 1815.852 	 | actor_loss : -135.890 	 | critic_loss : 12.522
Tot_step: 498666 	 | Episode: 780  	 | Time: 774.60 	 | Reward : 1714.481 	 | actor_loss : -138.254 	 | critic_loss : 13.276
Tot_step: 517482 	 | Episode: 800  	 | Time: 940.80 	 | Reward : 1837.128 	 | actor_loss : -140.904 	 | critic_loss : 13.204
Tot_step: 536989 	 | Episode: 820  	 | Time: 975.35 	 | Reward : 2019.117 	 | actor_loss : -142.581 	 | critic_loss : 13.671
Tot_step: 555194 	 | Episode: 840  	 | Time: 910.25 	 | Reward : 2079.939 	 | actor_loss : -144.279 	 | critic_loss : 13.844
Tot_step: 573469 	 | Episode: 860  	 | Time: 913.75 	 | Reward : 1991.654 	 | actor_loss : -146.369 	 | critic_loss : 14.392
Tot_step: 592807 	 | Episode: 880  	 | Time: 966.90 	 | Reward : 2112.260 	 | actor_loss : -148.584 	 | critic_loss : 14.761
Tot_step: 610358 	 | Episode: 900  	 | Time: 877.55 	 | Reward : 1917.379 	 | actor_loss : -150.492 	 | critic_loss : 14.979
Tot_step: 629074 	 | Episode: 920  	 | Time: 935.80 	 | Reward : 2172.367 	 | actor_loss : -151.990 	 | critic_loss : 15.301
Tot_step: 646947 	 | Episode: 940  	 | Time: 893.65 	 | Reward : 2090.478 	 | actor_loss : -154.158 	 | critic_loss : 15.404
Tot_step: 666105 	 | Episode: 960  	 | Time: 957.90 	 | Reward : 2319.068 	 | actor_loss : -156.002 	 | critic_loss : 15.658
Tot_step: 685545 	 | Episode: 980  	 | Time: 972.00 	 | Reward : 2285.367 	 | actor_loss : -158.068 	 | critic_loss : 15.806
Tot_step: 705545 	 | Episode: 1000 	 | Time: 1000.00 	 | Reward : 2096.763 	 | actor_loss : -159.753 	 | critic_loss : 16.319
Tot_step: 724713 	 | Episode: 1020 	 | Time: 958.40 	 | Reward : 2293.766 	 | actor_loss : -160.693 	 | critic_loss : 16.517
Tot_step: 741226 	 | Episode: 1040 	 | Time: 825.65 	 | Reward : 1711.184 	 | actor_loss : -161.916 	 | critic_loss : 16.786
Tot_step: 759393 	 | Episode: 1060 	 | Time: 908.35 	 | Reward : 2239.596 	 | actor_loss : -162.849 	 | critic_loss : 16.873
Tot_step: 776365 	 | Episode: 1080 	 | Time: 848.60 	 | Reward : 2043.046 	 | actor_loss : -164.244 	 | critic_loss : 16.968
Tot_step: 793191 	 | Episode: 1100 	 | Time: 841.30 	 | Reward : 1985.141 	 | actor_loss : -165.293 	 | critic_loss : 17.270
Tot_step: 810772 	 | Episode: 1120 	 | Time: 879.05 	 | Reward : 1965.921 	 | actor_loss : -165.925 	 | critic_loss : 17.775
Tot_step: 830772 	 | Episode: 1140 	 | Time: 1000.00 	 | Reward : 2303.973 	 | actor_loss : -166.921 	 | critic_loss : 18.161
Tot_step: 847470 	 | Episode: 1160 	 | Time: 834.90 	 | Reward : 2189.848 	 | actor_loss : -168.189 	 | critic_loss : 18.587
Tot_step: 863838 	 | Episode: 1180 	 | Time: 818.40 	 | Reward : 2051.420 	 | actor_loss : -169.027 	 | critic_loss : 19.270
Tot_step: 882476 	 | Episode: 1200 	 | Time: 931.90 	 | Reward : 2061.124 	 | actor_loss : -169.496 	 | critic_loss : 19.022
Tot_step: 901436 	 | Episode: 1220 	 | Time: 948.00 	 | Reward : 2308.955 	 | actor_loss : -170.373 	 | critic_loss : 19.309
Tot_step: 919382 	 | Episode: 1240 	 | Time: 897.30 	 | Reward : 2331.325 	 | actor_loss : -171.756 	 | critic_loss : 19.388
Tot_step: 934584 	 | Episode: 1260 	 | Time: 760.10 	 | Reward : 1686.599 	 | actor_loss : -172.237 	 | critic_loss : 20.438
Tot_step: 951528 	 | Episode: 1280 	 | Time: 847.20 	 | Reward : 2209.639 	 | actor_loss : -173.086 	 | critic_loss : 20.299
Tot_step: 967059 	 | Episode: 1300 	 | Time: 776.55 	 | Reward : 1902.311 	 | actor_loss : -174.051 	 | critic_loss : 20.854
Tot_step: 984580 	 | Episode: 1320 	 | Time: 876.05 	 | Reward : 2369.547 	 | actor_loss : -175.024 	 | critic_loss : 21.000
Tot_step: 1001295 	 | Episode: 1340 	 | Time: 835.75 	 | Reward : 2104.994 	 | actor_loss : -176.166 	 | critic_loss : 21.360
Tot_step: 1019689 	 | Episode: 1360 	 | Time: 919.70 	 | Reward : 2527.002 	 | actor_loss : -177.966 	 | critic_loss : 21.105
Tot_step: 1037047 	 | Episode: 1380 	 | Time: 867.90 	 | Reward : 2386.513 	 | actor_loss : -180.782 	 | critic_loss : 20.771
Tot_step: 1054378 	 | Episode: 1400 	 | Time: 866.55 	 | Reward : 2479.615 	 | actor_loss : -184.194 	 | critic_loss : 21.302
Tot_step: 1072479 	 | Episode: 1420 	 | Time: 905.05 	 | Reward : 2341.687 	 | actor_loss : -188.593 	 | critic_loss : 20.845
Tot_step: 1088845 	 | Episode: 1440 	 | Time: 818.30 	 | Reward : 2254.393 	 | actor_loss : -191.876 	 | critic_loss : 21.322
Tot_step: 1105967 	 | Episode: 1460 	 | Time: 856.10 	 | Reward : 2104.550 	 | actor_loss : -194.238 	 | critic_loss : 21.027
Tot_step: 1123518 	 | Episode: 1480 	 | Time: 877.55 	 | Reward : 2485.678 	 | actor_loss : -197.180 	 | critic_loss : 21.765
Tot_step: 1139505 	 | Episode: 1500 	 | Time: 799.35 	 | Reward : 2080.033 	 | actor_loss : -199.898 	 | critic_loss : 22.257
Tot_step: 1157432 	 | Episode: 1520 	 | Time: 896.35 	 | Reward : 2554.830 	 | actor_loss : -201.136 	 | critic_loss : 22.974
Tot_step: 1174492 	 | Episode: 1540 	 | Time: 853.00 	 | Reward : 2459.247 	 | actor_loss : -203.047 	 | critic_loss : 23.083
Tot_step: 1192409 	 | Episode: 1560 	 | Time: 895.85 	 | Reward : 2448.846 	 | actor_loss : -205.442 	 | critic_loss : 23.251
Tot_step: 1211973 	 | Episode: 1580 	 | Time: 978.20 	 | Reward : 2731.737 	 | actor_loss : -207.994 	 | critic_loss : 23.482
Tot_step: 1231973 	 | Episode: 1600 	 | Time: 1000.00 	 | Reward : 2612.643 	 | actor_loss : -210.776 	 | critic_loss : 23.406
Tot_step: 1249261 	 | Episode: 1620 	 | Time: 864.40 	 | Reward : 2336.785 	 | actor_loss : -213.239 	 | critic_loss : 22.643
Tot_step: 1265363 	 | Episode: 1640 	 | Time: 805.10 	 | Reward : 2304.386 	 | actor_loss : -214.628 	 | critic_loss : 23.911
Tot_step: 1283121 	 | Episode: 1660 	 | Time: 887.90 	 | Reward : 2435.731 	 | actor_loss : -216.293 	 | critic_loss : 23.609
Tot_step: 1300506 	 | Episode: 1680 	 | Time: 869.25 	 | Reward : 2311.892 	 | actor_loss : -218.278 	 | critic_loss : 23.750
Tot_step: 1317229 	 | Episode: 1700 	 | Time: 836.15 	 | Reward : 2452.507 	 | actor_loss : -219.671 	 | critic_loss : 25.083
Tot_step: 1334930 	 | Episode: 1720 	 | Time: 885.05 	 | Reward : 2765.385 	 | actor_loss : -222.002 	 | critic_loss : 24.923
Tot_step: 1352630 	 | Episode: 1740 	 | Time: 885.00 	 | Reward : 2627.240 	 | actor_loss : -223.994 	 | critic_loss : 25.690
Tot_step: 1371369 	 | Episode: 1760 	 | Time: 936.95 	 | Reward : 2583.822 	 | actor_loss : -225.689 	 | critic_loss : 25.162
Tot_step: 1387935 	 | Episode: 1780 	 | Time: 828.30 	 | Reward : 1858.989 	 | actor_loss : -226.636 	 | critic_loss : 25.873
######################### Start train #########################
Tot_step: 5293   	 | Episode: 20   	 | Time: 277.40 	 | Reward : -100.512 	 | actor_loss : -135.270 	 | critic_loss : 160.390
