######################### Start train #########################
Tot_step: 4606 	 | Episode: 20 	 | Reward : -82.27145201686362 	 | actor_loss : -116.22644654296911 	 | critic_loss : 87.32521960900608
Tot_step: 8067 	 | Episode: 40 	 | Reward : -64.79429345811188 	 | actor_loss : -330.01156349901095 	 | critic_loss : 529.5754894178077
Tot_step: 10245 	 | Episode: 60 	 | Reward : -68.32543949527016 	 | actor_loss : -879.0596927813074 	 | critic_loss : 3359.3335422417795
Tot_step: 14150 	 | Episode: 80 	 | Reward : -287.4943279818236 	 | actor_loss : -1091.7377256366776 	 | critic_loss : 6254.957007781665
Tot_step: 18865 	 | Episode: 100 	 | Reward : -272.66881998811516 	 | actor_loss : -1043.5670667497045 	 | critic_loss : 4436.5014365294965
Tot_step: 24331 	 | Episode: 120 	 | Reward : -259.181037149903 	 | actor_loss : -875.6162034707247 	 | critic_loss : 1948.3550834480943
Tot_step: 26489 	 | Episode: 140 	 | Reward : -98.43946298560306 	 | actor_loss : -752.1031350656901 	 | critic_loss : 1256.6358889398925
Tot_step: 33497 	 | Episode: 160 	 | Reward : -345.9930268670897 	 | actor_loss : -621.6998599869503 	 | critic_loss : 758.5949253846395
Tot_step: 40246 	 | Episode: 180 	 | Reward : -295.3082892645202 	 | actor_loss : -383.41509187680197 	 | critic_loss : 136.7164117987611
Tot_step: 44610 	 | Episode: 200 	 | Reward : -131.3666562680901 	 | actor_loss : -303.61620161035364 	 | critic_loss : 112.5325811458902
Tot_step: 52913 	 | Episode: 220 	 | Reward : -112.70950930630322 	 | actor_loss : -194.6068942746767 	 | critic_loss : 35.891176499721894
Tot_step: 72913 	 | Episode: 240 	 | Reward : 312.11829414317697 	 | actor_loss : -85.2141815481186 	 | critic_loss : 8.692969393599034
Tot_step: 92913 	 | Episode: 260 	 | Reward : 704.2381996520656 	 | actor_loss : -48.04239300746919 	 | critic_loss : 3.3812548914492133
Tot_step: 111333 	 | Episode: 280 	 | Reward : 805.7320165345727 	 | actor_loss : -52.1282459096322 	 | critic_loss : 2.5140597878097912
Tot_step: 131333 	 | Episode: 300 	 | Reward : 996.3574934148437 	 | actor_loss : -59.71197951354979 	 | critic_loss : 2.490544241768122
Tot_step: 151333 	 | Episode: 320 	 | Reward : 1006.5022377230628 	 | actor_loss : -67.78287043972016 	 | critic_loss : 2.6671273293435576
Tot_step: 170831 	 | Episode: 340 	 | Reward : 1095.318534033911 	 | actor_loss : -73.7168016476995 	 | critic_loss : 2.7588910019430295
Tot_step: 187946 	 | Episode: 360 	 | Reward : 1072.859226025577 	 | actor_loss : -79.44854571078706 	 | critic_loss : 3.149631692010581
Tot_step: 205562 	 | Episode: 380 	 | Reward : 1081.6956866038274 	 | actor_loss : -84.24935565964425 	 | critic_loss : 3.4417499930403883
